symbol_a,symbol_b,feature_similarity,pwin_corr,return_corr,similarity_score
BNB/USDT:USDT,BNB/USDT:USDT,1.0,0.9999999999999999,,0.7999999999999999
BNB/USDT:USDT,LINK/USDT:USDT,0.9999122229117017,0.5689504808423888,,0.6706412557085675
BNB/USDT:USDT,ETH/USDT:USDT,0.9999084982047861,0.5072319998880341,,0.6521238490688033
BNB/USDT:USDT,BTC/USDT:USDT,0.9998191252441706,0.47414459152797994,,0.6421529400804793
BNB/USDT:USDT,XRP/USDT:USDT,0.9999052073196196,0.4227443406846297,,0.6267759058651987
BNB/USDT:USDT,SOL/USDT:USDT,0.9838553048084309,0.05996948094048911,,0.5099184966863621
BTC/USDT:USDT,BTC/USDT:USDT,1.0000000000000002,1.0,,0.8
BTC/USDT:USDT,ETH/USDT:USDT,0.9996385474271187,0.6835595679169174,,0.7048871440886345
BTC/USDT:USDT,LINK/USDT:USDT,0.9998940011657939,0.4926420429247177,,0.6477396134603122
BTC/USDT:USDT,BNB/USDT:USDT,0.9998191252441706,0.47414459152797994,,0.6421529400804793
BTC/USDT:USDT,XRP/USDT:USDT,0.9997348632069475,0.4660788802407552,,0.6396910956757003
BTC/USDT:USDT,SOL/USDT:USDT,0.9812238881750468,-0.09607166258002602,,0.4617904453135156
ETH/USDT:USDT,ETH/USDT:USDT,0.9999999999999999,1.0,,0.7999999999999999
ETH/USDT:USDT,BTC/USDT:USDT,0.9996385474271186,0.6835595679169174,,0.7048871440886345
ETH/USDT:USDT,LINK/USDT:USDT,0.9997323329439552,0.6143952279720064,,0.6841847348635796
ETH/USDT:USDT,BNB/USDT:USDT,0.9999084982047861,0.5072319998880341,,0.6521238490688033
ETH/USDT:USDT,XRP/USDT:USDT,0.9998804913931392,0.4891368294672981,,0.646681294536759
ETH/USDT:USDT,SOL/USDT:USDT,0.9838340066311778,-0.07024373529779297,,0.470843882726251
LINK/USDT:USDT,LINK/USDT:USDT,1.0,1.0,,0.8
LINK/USDT:USDT,ETH/USDT:USDT,0.9997323329439552,0.6143952279720064,,0.6841847348635796
LINK/USDT:USDT,XRP/USDT:USDT,0.9997727122402487,0.5776799133983003,,0.6731903301396144
LINK/USDT:USDT,BNB/USDT:USDT,0.9999122229117017,0.5689504808423888,,0.6706412557085675
LINK/USDT:USDT,BTC/USDT:USDT,0.9998940011657939,0.49264204292471764,,0.6477396134603122
LINK/USDT:USDT,SOL/USDT:USDT,0.9830689780863112,0.08464630486357431,,0.5169283805022279
SOL/USDT:USDT,SOL/USDT:USDT,1.0000000000000002,1.0,,0.8
SOL/USDT:USDT,LINK/USDT:USDT,0.983068978086311,0.08464630486357431,,0.5169283805022278
SOL/USDT:USDT,XRP/USDT:USDT,0.984263325221741,0.07179403709087387,,0.5136698737381327
SOL/USDT:USDT,BNB/USDT:USDT,0.9838553048084309,0.05996948094048911,,0.5099184966863621
SOL/USDT:USDT,ETH/USDT:USDT,0.9838340066311778,-0.07024373529779297,,0.470843882726251
SOL/USDT:USDT,BTC/USDT:USDT,0.9812238881750468,-0.09607166258002602,,0.4617904453135156
XRP/USDT:USDT,XRP/USDT:USDT,1.0000000000000002,1.0,,0.8
XRP/USDT:USDT,LINK/USDT:USDT,0.9997727122402487,0.5776799133983004,,0.6731903301396145
XRP/USDT:USDT,ETH/USDT:USDT,0.9998804913931393,0.48913682946729814,,0.646681294536759
XRP/USDT:USDT,BTC/USDT:USDT,0.9997348632069475,0.4660788802407552,,0.6396910956757003
XRP/USDT:USDT,BNB/USDT:USDT,0.9999052073196196,0.4227443406846297,,0.6267759058651987
XRP/USDT:USDT,SOL/USDT:USDT,0.9842633252217408,0.07179403709087387,,0.5136698737381326
