ts_join,btc_usdt_usdt,sol_usdt_usdt,link_usdt_usdt,bnb_usdt_usdt,xrp_usdt_usdt,eth_usdt_usdt,trx_usdt_usdt
2024-09-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 01:00:00+00:00,-0.0,-0.0,-0.0,-0.0,-0.0016544107510227523,-0.0,-0.0
2024-09-19 02:00:00+00:00,0.00019902214548793152,0.0,0.0,0.0,0.001514576698169872,0.0,0.0
2024-09-19 03:00:00+00:00,-0.00015710679237903753,0.0,-0.0,0.0,-0.0006971520674835261,0.0,0.0
2024-09-19 04:00:00+00:00,-7.285857308308432e-05,0.0,0.0,0.0,0.000689446244720514,0.0,0.0
2024-09-19 05:00:00+00:00,-0.00022135721071362858,-0.0,0.0,-0.0,-0.00044002369356818476,-0.0,-0.0
2024-09-19 06:00:00+00:00,0.00013609752947090864,0.0,0.0,-0.0,-0.0013202503964910898,0.0,0.0
2024-09-19 07:00:00+00:00,0.00015162204983553082,0.0,0.0,-0.0,0.0010429539720087937,0.0,0.0
2024-09-19 08:00:00+00:00,-0.0005197470189054657,-0.0,-0.0,-0.0,-0.0016602866251508098,-0.0,-0.0
2024-09-19 09:00:00+00:00,0.0012450299470039578,0.0,0.0,0.0,0.0,-0.0,0.0
2024-09-19 10:00:00+00:00,0.00015093076334636167,-0.0,-0.0,0.0,0.0009830187951147314,-0.00010687657705169141,0.0
2024-09-19 11:00:00+00:00,0.0014944089690616684,0.0,0.0,0.0,0.0011952992919311,0.0003596023886966397,-0.0
2024-09-19 12:00:00+00:00,0.001469068932908121,0.0,0.0,0.0,0.0007089883686799076,3.90690599944369e-05,-0.0
2024-09-19 13:00:00+00:00,0.0,-0.0,-0.0,-0.0001240688980777758,-0.0008550445894792273,-0.00020810164589879217,0.0
2024-09-19 14:00:00+00:00,-9.425743059365802e-05,0.0,-0.0,2.971915180947538e-05,0.001899868071528211,-0.0004999552868769277,0.0
2024-09-19 15:00:00+00:00,0.00037614016394610464,0.0,-0.0,0.00029298881699880145,-0.00173164225267693,0.001267006765702536,0.0
2024-09-19 16:00:00+00:00,0.0,0.0,0.0,0.0,0.004060705580765415,0.003122037432038895,-0.0
2024-09-19 17:00:00+00:00,0.0,-0.0,-0.0,-0.0,0.0,0.0,6.53897816968125e-06
2024-09-19 18:00:00+00:00,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-7.534913569904228e-05
2024-09-19 19:00:00+00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0851618161834222e-05
